mode_index,eigenvalue,degeneracy,ratio
0,9.323057757000372,1,2.098425253775627
1,13.893736473871448,2,3.1271894099533903
2,13.893736473871488,2,3.1271894099534
3,14.139634063196,1,3.182535812896539
4,14.195070447183266,1,3.1950133831496608
5,14.642630408816466,2,3.2957497671289153
6,14.642630408816474,2,3.2957497671289175
7,17.063811014385156,1,3.840706868018074
8,18.2378895275326,1,4.104967378477103
9,18.57016104760226,2,4.179754746205363
10,18.570161047602284,2,4.179754746205369
11,18.835938011809358,1,4.2395755805389514
12,19.340214248389213,1,4.353077611449738
13,20.03755332483709,1,4.510034048554726
14,20.33439977579367,2,4.576847974352111
15,20.334399775793724,2,4.576847974352122
16,21.80402822263689,1,4.9076305916975045
17,21.944013604590943,1,4.939138372546684
18,22.862599784331866,2,5.145892903900979
19,22.862599784331902,2,5.145892903900987
